score_entry_threshold,min_tier,stop_loss_ticks,target_ticks,exit_on_opposing_score,max_bars_in_trade,total_trades,win_rate,profit_factor,max_drawdown_dollars,sharpe,avg_pnl_per_trade,net_pnl
80,0,30,24,0.7,60,8,1.0,inf,0.0,299.73538995037745,123.81816491377322,990.5453193101857
80,0,30,32,0.3,15,8,0.75,54.66614030382822,8.704842090664897,22.042329245889746,95.69316491377322,765.5453193101857
80,0,30,32,0.3,30,8,0.875,37.40614413028036,0.0,25.050719284356823,116.31816491377322,930.5453193101857
80,0,30,32,0.3,60,8,1.0,inf,0.0,53.64142765439293,146.31816491377322,1170.5453193101857
80,0,30,32,0.5,15,8,0.75,54.66614030382822,8.704842090664897,22.042329245889746,95.69316491377322,765.5453193101857
80,0,30,32,0.5,30,8,0.875,37.40614413028036,0.0,25.050719284356823,116.31816491377322,930.5453193101857
80,0,30,32,0.5,60,8,1.0,inf,0.0,53.64142765439293,146.31816491377322,1170.5453193101857
80,0,30,32,0.7,15,8,0.75,54.66614030382822,8.704842090664897,22.042329245889746,95.69316491377322,765.5453193101857
80,0,30,32,0.7,30,8,0.875,37.40614413028036,0.0,25.050719284356823,116.31816491377322,930.5453193101857
80,0,30,32,0.7,60,8,1.0,inf,0.0,53.64142765439293,146.31816491377322,1170.5453193101857
80,0,30,40,0.3,15,8,0.75,57.11970492404756,8.704842090664897,21.02880070275943,100.06816491377322,800.5453193101857
80,0,30,40,0.3,30,8,0.875,40.92725471321698,0.0,22.332849424576327,127.56816491377322,1020.5453193101857
80,0,30,40,0.3,60,8,1.0,inf,0.0,42.38833325295361,163.81816491377322,1310.5453193101857
80,0,30,40,0.5,15,8,0.75,57.11970492404756,8.704842090664897,21.02880070275943,100.06816491377322,800.5453193101857
80,0,30,40,0.5,30,8,0.875,40.92725471321698,0.0,22.332849424576327,127.56816491377322,1020.5453193101857
80,0,30,40,0.5,60,8,1.0,inf,0.0,42.38833325295361,163.81816491377322,1310.5453193101857
80,0,30,40,0.7,15,8,0.75,57.11970492404756,8.704842090664897,21.02880070275943,100.06816491377322,800.5453193101857
80,0,30,40,0.7,30,8,0.875,40.92725471321698,0.0,22.332849424576327,127.56816491377322,1020.5453193101857
80,0,30,40,0.7,60,8,1.0,inf,0.0,42.38833325295361,163.81816491377322,1310.5453193101857
80,0,30,60,0.3,15,8,0.75,57.11970492404756,8.704842090664897,21.02880070275943,100.06816491377322,800.5453193101857
80,0,30,60,0.3,30,8,0.875,43.86151353233083,0.0,21.678375249979176,136.94316491377322,1095.5453193101857
80,0,30,60,0.3,60,8,1.0,inf,0.0,32.692551239194486,215.06816491377322,1720.5453193101857
80,0,30,60,0.5,15,8,0.75,57.11970492404756,8.704842090664897,21.02880070275943,100.06816491377322,800.5453193101857
80,0,30,60,0.5,30,8,0.875,43.86151353233083,0.0,21.678375249979176,136.94316491377322,1095.5453193101857
80,0,30,60,0.5,60,8,1.0,inf,0.0,32.692551239194486,215.06816491377322,1720.5453193101857
80,0,30,60,0.7,15,8,0.75,57.11970492404756,8.704842090664897,21.02880070275943,100.06816491377322,800.5453193101857
80,0,30,60,0.7,30,8,0.875,43.86151353233083,0.0,21.678375249979176,136.94316491377322,1095.5453193101857
80,0,30,60,0.7,60,8,1.0,inf,0.0,32.692551239194486,215.06816491377322,1720.5453193101857
